Data source,Ecoinvent process OR other names,Unit,Reference quantity,,"cumulative energy demand:biomass:renewable energy resources, biomass","cumulative energy demand:fossil:non-renewable energy resources, fossil","cumulative energy demand:geothermal:renewable energy resources, geothermal, converted","cumulative energy demand:nuclear:non-renewable energy resources, nuclear","cumulative energy demand:primary forest:non-renewable energy resources, primary forest","cumulative energy demand:solar:renewable energy resources, solar, converted","cumulative energy demand:water:renewable energy resources, potential (in barrage water), converted","cumulative energy demand:wind:renewable energy resources, kinetic (in wind), converted","cumulative energy demand:renewable:total renewables (wind, solar, water, geothermal, biomass)","cumulative energy demand:non-renewable:total non-renewables (fossil, nuclear, primary forest)",IPCC 2013:climate change:GWP 100a,ReCiPe Midpoint (H) V1.13:agricultural land occupation:ALOP,ReCiPe Midpoint (H) V1.13:climate change:GWP100,ReCiPe Midpoint (H) V1.13:fossil depletion:FDP,ReCiPe Midpoint (H) V1.13:freshwater ecotoxicity:FETPinf,ReCiPe Midpoint (H) V1.13:freshwater eutrophication:FEP,ReCiPe Midpoint (H) V1.13:human toxicity:HTPinf,ReCiPe Midpoint (H) V1.13:ionising radiation:IRP_HE,ReCiPe Midpoint (H) V1.13:marine ecotoxicity:METPinf,ReCiPe Midpoint (H) V1.13:marine eutrophication:MEP,ReCiPe Midpoint (H) V1.13:metal depletion:MDP,ReCiPe Midpoint (H) V1.13:natural land transformation:NLTP,ReCiPe Midpoint (H) V1.13:ozone depletion:ODPinf,ReCiPe Midpoint (H) V1.13:particulate matter formation:PMFP,ReCiPe Midpoint (H) V1.13:photochemical oxidant formation:POFP,ReCiPe Midpoint (H) V1.13:terrestrial acidification:TAP100,ReCiPe Midpoint (H) V1.13:terrestrial ecotoxicity:TETPinf,ReCiPe Midpoint (H) V1.13:urban land occupation:ULOP,ReCiPe Midpoint (H) V1.13:water depletion:WDP,CML 2001 (obsolete):land use:competition
,,,,,MJ-Eq,MJ-Eq,MJ-Eq,MJ-Eq,MJ-Eq,MJ-Eq,MJ-Eq,MJ-Eq,MJ-Eq,MJ-Eq,kg CO2-Eq,m2a,kg CO2-Eq,kg oil-Eq,"kg 1,4-DC.",kg P-Eq,"kg 1,4-DC.",kg U235-Eq,"kg 1,4-DB.",kg N-Eq,kg Fe-Eq,m2,kg CFC-11.,kg PM10-Eq,kg NMVOC-.,kg SO2-Eq,"kg 1,4-DC.",m2a,m3 water-.,m2a
RIVM_2016,"Melk (v), [NL], ReCiPe, RIVM_2016",kg,1,,,,,,,,,,,,1.63,1.2,1.63,,,1.44E-02,,,,2.15E-04,,,,,,0.0348,,,0.0116,
RIVM_2016,"Melk (hv), [NL], ReCiPe, RIVM_2016",kg,1,,,,,,,,,,,,1.58,1.17,1.58,,,1.39E-02,,,,2.08E-04,,,,,,0.0335,,,0.0113,
RIVM_2016,"Sperziebonen, [NL], ReCiPe, RIVM_2016",kg,1,,,,,,,,,,,,1.34,1.06,1.34,,,1.11E-02,,,,2.38E-04,,,,,,0.0143,,,0.0274,
RIVM_2016,"Sperziebonen in blik, [NL], ReCiPe, RIVM_2016",kg,1,,,,,,,,,,,,1.99,1.14,1.99,,,1.10E-02,,,,2.64E-04,,,,,,0.0182,,,0.0321,
RIVM_2016,"Broccoli, [NL], ReCiPe, RIVM_2016",kg,1,,,,,,,,,,,,1.99,1.43,1.99,,,3.85E-02,,,,2.64E-04,,,,,,0.0249,,,0.0418,
RIVM_2016,"Wortels, [NL], ReCiPe, RIVM_2016",kg,1,,,,,,,,,,,,0.791,0.248,0.791,,,3.30E-03,,,,6.06E-05,,,,,,0.00423,,,0.0105,
RIVM_2016,"Bloemkool, [NL], ReCiPe, RIVM_2016",kg,1,,,,,,,,,,,,1.35,1.14,1.35,,,1.67E-02,,,,2.11E-04,,,,,,0.0185,,,0.0762,
RIVM_2016,"Witlof, [NL], ReCiPe, RIVM_2016",kg,1,,,,,,,,,,,,1.18,0.796,1.18,,,7.71E-03,,,,1.49E-04,,,,,,0.00987,,,0.00969,
RIVM_2016,"Courgette, [NL], ReCiPe, RIVM_2016",kg,1,,,,,,,,,,,,1.64,0.155,1.64,,,1.92E-03,,,,7.11E-05,,,,,,0.00494,,,0.0265,
RIVM_2016,"Komkommer, [NL], ReCiPe, RIVM_2016",kg,1,,,,,,,,,,,,1.49,0.0419,1.49,,,1.69E-03,,,,3.79E-05,,,,,,0.00331,,,0.00811,
RIVM_2016,"Boerenkool, [NL], ReCiPe, RIVM_2016",kg,1,,,,,,,,,,,,1.07,0.241,1.07,,,5.57E-03,,,,4.91E-05,,,,,,0.00453,,,0.0256,
RIVM_2016,"Sla, gemiddeld, [NL], ReCiPe, RIVM_2016",kg,1,,,,,,,,,,,,0.836,0.407,0.836,,,2.40E-03,,,,5.01E-05,,,,,,0.00451,,,0.0535,
RIVM_2016,"Kropsla, [NL], ReCiPe, RIVM_2016",kg,1,,,,,,,,,,,,0.854,0.463,0.854,,,2.72E-03,,,,5.33E-05,,,,,,0.00499,,,0.0604,
RIVM_2016,"Uien, [NL], ReCiPe, RIVM_2016",kg,1,,,,,,,,,,,,0.59,0.265,0.59,,,3.04E-03,,,,1.16E-04,,,,,,0.00453,,,0.0155,
RIVM_2016,"Doperwten, [NL], ReCiPe, RIVM_2016",kg,1,,,,,,,,,,,,1.29,3.11,1.29,,,1.00E-02,,,,7.94E-04,,,,,,0.0137,,,0.0345,
RIVM_2016,"Aardappelen, [NL], ReCiPe, RIVM_2016",kg,1,,,,,,,,,,,,0.815,0.323,0.815,,,4.99E-03,,,,1.25E-04,,,,,,0.00659,,,0.0114,
RIVM_2016,"Spinazie, [NL], ReCiPe, RIVM_2016",kg,1,,,,,,,,,,,,1.11,0.634,1.11,,,6.85E-03,,,,1.29E-04,,,,,,0.01,,,0.0106,
RIVM_2016,"Tomaten, rauw, [NL], ReCiPe, RIVM_2016",kg,1,,,,,,,,,,,,1.51,0.039,1.51,,,1.56E-03,,,,3.80E-05,,,,,,0.00326,,,0.00566,
RIVM_2016,"Tomaten, gekookt, [NL], ReCiPe, RIVM_2016",kg,1,,,,,,,,,,,,1.76,0.039,1.76,,,1.57E-03,,,,3.81E-05,,,,,,0.00347,,,0.00593,
RIVM_2016,"Appel met schil, [NL], ReCiPe, RIVM_2016",kg,1,,,,,,,,,,,,0.413,0.318,0.413,,,1.69E-03,,,,6.40E-05,,,,,,0.00321,,,0.0219,
RIVM_2016,"Appel zonder schil, [NL], ReCiPe, RIVM_2016",kg,1,,,,,,,,,,,,0.465,0.358,0.465,,,1.90E-03,,,,7.20E-05,,,,,,0.00361,,,0.0247,
RIVM_2016,"Banaan, [NL], ReCiPe, RIVM_2016",kg,1,,,,,,,,,,,,0.874,0.513,0.874,,,6.21E-03,,,,1.33E-05,,,,,,0.0098,,,0.0751,
RIVM_2016,"Druiven met schil, [NL], ReCiPe, RIVM_2016",kg,1,,,,,,,,,,,,0.825,1.01,0.825,,,3.38E-03,,,,5.68E-05,,,,,,0.0103,,,0.12,
RIVM_2016,"Kiwi, [NL], ReCiPe, RIVM_2016",kg,1,,,,,,,,,,,,0.907,0.624,0.907,,,2.63E-03,,,,2.62E-05,,,,,,0.00993,,,0.33,
RIVM_2016,"Mandarijn, [NL], ReCiPe, RIVM_2016",kg,1,,,,,,,,,,,,1.06,1.19,1.06,,,8.56E-03,,,,1.72E-04,,,,,,0.0122,,,0.326,
RIVM_2016,"Sinaasappel, [NL], ReCiPe, RIVM_2016",kg,1,,,,,,,,,,,,1.05,0.808,1.05,,,5.01E-03,,,,1.09E-04,,,,,,0.0111,,,0.361,
RIVM_2016,"Perzik zonder schil, [NL], ReCiPe, RIVM_2016",kg,1,,,,,,,,,,,,0.688,0.911,0.688,,,2.80E-03,,,,1.15E-04,,,,,,0.00512,,,0.319,
RIVM_2016,"Ananas, [NL], ReCiPe, RIVM_2016",kg,1,,,,,,,,,,,,1.64,0.488,1.64,,,2.74E-02,,,,9.28E-05,,,,,,0.0163,,,0.0165,
RIVM_2016,"Aardbeien, [NL], ReCiPe, RIVM_2016",kg,1,,,,,,,,,,,,2.65,0.61,2.65,,,6.78E-03,,,,1.66E-04,,,,,,0.0114,,,0.0504,
